Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
[No author name available],[No author id available],"2nd International Postgraduate Conference on Infrastructure and Environment, IPCIE 2010, Volume 1",2010,"Proceedings of the 2nd International Postgraduate Conference on Infrastructure and Environment, IPCIE 2010","1",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886656111&partnerID=40&md5=6559e4aba29b1e7f8029a775bc81edbc",,"","The proceedings contain 126 papers. The special focus in this conference is on Infrastructure and Environment. The topics include: Numerical analysis on thermal comfort and cooling load for stratified air condition system in theatre; comprehensive review of fuel cell technology and its characteristics; experimental studies of energy performance of air-cooled chillers with water mist system; study influences of individual behavior conscious on energysaving in building; influence of wind stress drag coefficient on wind-driven flow simulations; LES of vertical buoyant jets in Jonswap waves; experimental study of flow resistance in a straight open-channel with gravel bed; study on mechanical mechanism of horizontal displacement of deep soil during shield tunneling; using ANN-SSA coupled with UNEEC for uncertainty estimate of daily rainfall-runoff transformation; project cost estimate in Singapore mass rapid transit(MRT) development; interface direct shear behavior of unsaturated decomposed granite soil and cement grout; assessing lean construction techniques implimentation in Niegeria construction industry; structural analysis of industries of foreign direct investment in mainland China; Malaysia's economic development and its impact on construction output and employment; impediments to implementing PPP projects in small states; ranking the building construction estimating cost factors using Terrell's transformation technique; scaling the peak: the new engineering contract (NEC) in the Australian construction industry; an analysis on the winning factors of contractors in bidding competition; ASPS based construction management system; challenges in managing human resource in Indonesian construction industry; measuring professional moral judgment in Hong Kong construction industry; a critical review of the effectiveness of safety measures in Hong Kong construction industry; storytelling as knowledge transfer mechanism in construction projects; an integrated study of construction virtual prototyping system; public consultation in the prophase of urban master planning in China; thermal sensation choices of residents at Hong Kong apartment buildings; modeling of contaminant particle deposition and rebound in a vertical duct; effective use of oyster shell as an adsorbent in vegetable oil refining; landscape and wellbeing in the contemporary building at dense Dhaka city in Bangladesh; the influence of road development to urban land use at Dhaka city; facing home loss after disasters; issues of nonpayment service charges of stratified residential building in Malaysia; ethical instrumentation of integrated waste management; an evaluation of parks using assessment tools; adsorption of lead by a novel carbon nanomaterial; evaluation of stroke building for road generalization; INSAR observation of surface displacement over southern California with ALOS PALSAR data; watermarking algorithm for remote sensing image based on fast curvelet transform; the involvement of private valuers in property management, the Malaysian experience; towards understanding the determinants of firm innovativeness in Malaysian housing industry; why the land ownership cannot produce high income to China's farmers; job-accessibility-based housing affordability index; a computer-aided approach for construction briefing; real estate private equity funds in China; the best practices of warranty system; housing in Beijing urban villages and migrants' income patterns; integrated design of double-layer space structures for high-rise buildings; static performance and influence factor research on high-rise diagrid tube; modeling critical infrastructure interdependency and impact analysis; establishment of baseline models for long-span cable-stayed bridges; energy based seismic resistant performance analysis method for reinforced concrete frame; a note on unified non-stationary wind speed model for near-ground strong wind; fracture strength of structural steel at high stress trixiality; effect of joint rigidity on stability of single-layered ribbed domes; measuring costs of sustainability issues in highway infrastructure; regional disparity of urban energy efficiency and its impact factors in China; impact of urban growth on vegetation cover and quality of urban environment of Kano, Nigeria; polyhydroxyalkanoates (PHA) production in activated sludge fed by volatile fatty acids; finite element analysis of FRP wraps in split-disk tests; long-term monitoring for soil nails and anchors based on FBG sensing technique and measurement of cracks in concrete beams using a brillouin optical time domain analysis sensing technology.",,,Conference Review,"Final","",Scopus,2-s2.0-84886656111
"Saad N.H.M., Alias R.A., Rahman A.A.","55523505100;25928253600;35609963600;","The contextualist approach of understanding knowledge management system initiatives in higher education: Case studies of Malaysian Public Universities",2010,"Proceedings of the European Conference on Knowledge Management, ECKM","2",,,"694","701",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871155439&partnerID=40&md5=1f5596fb4dfa761e422f377e19478ed1","School of Management, Universiti Sains Malaysia, Penang, Malaysia; Faculty of Computer Science and Information Systems, Universiti Teknologi Malaysia, Johor, Malaysia","Saad, N.H.M., School of Management, Universiti Sains Malaysia, Penang, Malaysia; Alias, R.A., Faculty of Computer Science and Information Systems, Universiti Teknologi Malaysia, Johor, Malaysia; Rahman, A.A., Faculty of Computer Science and Information Systems, Universiti Teknologi Malaysia, Johor, Malaysia","Research on the Knowledge Management System (KMS) initiatives has become an emerging issue across the globe. However, there is a paucity of studies concerning KMS initiatives in the context of higher education although knowledge management practice is a norm in the academic communities. Aims: This study aims to fill this gap and provides a broad empirical analysis on KMS initiatives in the Malaysian Public Universities. This study also offers an understanding on other higher education institutions that have attempted, or are in the process of, implementing the KMS to consider the necessary elements required to continue with their projects. Methods: This research adopts the multiple-case study methodology to investigate four public universities which represent the different characteristics of environment surrounding the higher education institutions in Malaysia: the newer universities were established after the year 2000 and the older universities established before that particular year. This study argues that KMS initiatives are not just an issue solely focused on technical aspects but it also requires equal consideration of the reality on the complementary relationship between the social context and the social process surrounding it. An interpretive approach is used as a mode of inquiry to allow the researcher to make sense and establish meaning from the complex problem rooted from the the real-world situation. A multi-dimensional framework of the contextualists' approach is adopted from Pettigrew (1985) as a theoretical basis for the collection, interpretation and analysis of the data. Findings: The findings demonstrated that the older MPUs have more challenging issues in dealing with contextual elements to influence the KMS initiatives. The contextual elements constitute an attempt to take into consideration some external elements and also local organizational context in which the KMS initiatives were implemented. Conclusions: The main contribution of this study is to give guidelines to interested universities, or to the universities which are already in the process of implementing more effective and holistic KMS initiatives.","A multiple case study; Approach; Contextualists; Interpretive approach; Knowledge management system initiatives; Public universities","Approach; Contextualists; Interpretive approach; Knowledge management system; Multiple-case study; Public universities; Knowledge based systems; Knowledge management; Management science; Research; Societies and institutions; Education",Conference Paper,"Final","",Scopus,2-s2.0-84871155439
"Harikrishnan R., Balasundaram C., Heo M.-S.","56209704100;6602719599;8854118800;","Molecular studies, disease status and prophylactic measures in grouper aquaculture: Economic importance, diseases and immunology",2010,"Aquaculture","309","1-4",,"1","14",,88,"10.1016/j.aquaculture.2010.09.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78149285059&doi=10.1016%2fj.aquaculture.2010.09.011&partnerID=40&md5=296c5b892fc94051e480cad4bf7516f2","Marine Applied Microbes and Aquatic Organism Disease Control Lab, Department of Aquatic Biomedical Sciences, School of Marine Biomedical Sciences, College of Ocean Sciences and Marine and Environmental Research Institute, Jeju National Univ., Jeju 690-756, South Korea; MarineDepartment of Animal Science, Bharathidasan University, Tiruchirapalli-620024, India","Harikrishnan, R., Marine Applied Microbes and Aquatic Organism Disease Control Lab, Department of Aquatic Biomedical Sciences, School of Marine Biomedical Sciences, College of Ocean Sciences and Marine and Environmental Research Institute, Jeju National Univ., Jeju 690-756, South Korea; Balasundaram, C., MarineDepartment of Animal Science, Bharathidasan University, Tiruchirapalli-620024, India; Heo, M.-S., Marine Applied Microbes and Aquatic Organism Disease Control Lab, Department of Aquatic Biomedical Sciences, School of Marine Biomedical Sciences, College of Ocean Sciences and Marine and Environmental Research Institute, Jeju National Univ., Jeju 690-756, South Korea","Groupers are potentially important and economically valuable aquaculture species in Southeast Asian countries. Among sport and artisanal fishers is a prized catch demanding lucrative price. Groupers belong to the subfamily Epinephelinae, which include 159 species under 15 genera; they are widely distributed in the tropical and sub-tropical waters of Atlantic Ocean and Mediterranean Sea. Grouper culture was first introduced in the early 1970s in Singapore, Malaysia, Hong Kong, Thailand, and Taiwan, and is now widely practiced throughout Southeast Asia. At present, its production is essentially in the hands of small-scale farmers; however the interest in its larger scale production in offshore systems is gaining momentum. In recent years the global production of groupers has increased tremendously due to its escalated demand with 60,774, 99,378, 163,093, and 198,690. mt in 1990, 2000, 2005, and 2007 respectively. Despite the wholesale premium price of up to US$100/kg groupers fetch in the Chinese live-fish markets in Hong Kong and South China its culture is ravaged by various diseases; for instance the large-scale seed production of groupers continues to encounter increasing difficulties, especially with a host of infectious diseases including various viral, bacterial, and parasitic pathogens and non-infectious (environment, management, and nutritional) disease agents and a number of undiagnosed diseases of unknown origin. Apart from some documented viral problems in Southeast Asia in groupers, little is known about the impact of major diseases that may go beyond direct mortalities and production losses. Immunization with formalin-killed viral and parasitic vaccines increased survival rates and dietary administration of DHA/EPA, L-ascorbic acid, vitamin C and E, sodium alginate, κ-carrageenan yeast, probiotics, and herbals significantly increased the specific and non-specific immune response and protect from diseases. In this review will discuss the available information on infectious diseases and its immune status in grouper culture. © 2010.","Diagnosis; Disease; Economic loss; Grouper; Production","aquaculture; artisanal fishery; commercial species; disease prevalence; food market; food supplementation; immune response; immunization; infectious disease; molecular analysis; mortality; pathogen; percid; probiotics; seed production; survival; tropical region; vaccine; Atlantic Ocean; Malaysia; Mediterranean Sea; Singapore [Singapore (NTN)]; Singapore [Southeast Asia]; Bacteria (microorganisms); Epinephelinae",Review,"Final","",Scopus,2-s2.0-78149285059
"Salim M.M., Saenz D., Jadid M., Rafea M.A.","36171957500;36438715600;29767447700;36644768500;","Production monitoring and surveillance of ESP wells - Maximizing production and recovery in a volatile economic environment",2010,"SPE Production and Operations Symposium, Proceedings",,,,"231","240",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78149401223&partnerID=40&md5=4b26f77ac5f4dfa1a6e2e4d104abfab2","Petronas PMU, Iran; Schlumberger, United Kingdom; Petronas Carigali Sdn Bhd., Iran","Salim, M.M., Petronas PMU, Iran; Saenz, D., Schlumberger, United Kingdom; Jadid, M., Petronas Carigali Sdn Bhd., Iran; Rafea, M.A., Petronas Carigali Sdn Bhd., Iran","The satisfaction of completing a workover project and handing wells back to operations is just the beginning. The ongoing surveillance and constant adjustments towards optimization will ultimately determine the success or failure of such an undertaking. This is particularly true with Electrical Submersible Pumps (ESPs). In mid-2009, the first three production ESPs in Malaysia were commissioned and started offshore Sarawak in the Bokor Field. These were a step change in field operations as all other wells are produced primarily via gas lift. A great deal of planning and preparation was required to analyze well output against baseline calculations, test each well thoroughly to monitor for water breakthrough or sand, and monitor the platform infrastructure to ensure the additional loads and production expected. Online surveillance has played a key part in assisting the project team towards optimizing the wells and observing pump performance. The system as installed has allowed for remote frequency changes to adapt the pump for current conditions. Additionally, the surveillance system has been employed to protect the pump during unplanned shutdowns. The production results thus far show that the ESPs are producing several hundred barrels oil greater than the gas lift baseline. Solids have not been an issue and the production GOR has been amongst the lowest in the field. However, the objective from the project execution plan is to continue increasing to 1700 bopd incremental. To achieve this, the project team will need to continue the workflows and processes developed to ensure a successful ending. © 2010, Society of Petroleum Engineers.",,"Additional loads; Bokor field; Economic environment; Electrical submersible pumps; Frequency changes; In-field; Key parts; Malaysia; Production monitoring; Project execution; Project team; Pump performance; Sarawak; Step changes; Surveillance systems; Unplanned shutdowns; Water breakthrough; Work-flows; Workover; Gas lifts; Monitoring; Optimization; Submersible pumps; Wells; Well stimulation",Conference Paper,"Final","",Scopus,2-s2.0-78149401223
"Khan M.J., Dominic P.D.D., Khan A., Naseebullah","56132220200;25824770400;56330458700;36629056800;","Adoption of e-commerce in Malaysia and its affect on the business performance: An organizational perspective",2010,"Proceedings 2010 International Symposium on Information Technology - Visual Informatics, ITSim'10","1",, 5561340,"","",,2,"10.1109/ITSIM.2010.5561340","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049387215&doi=10.1109%2fITSIM.2010.5561340&partnerID=40&md5=836e408a198fa2b84029ebb31dea1d1a","Department of Computer and Information Sciences, Universiti Teknologi PETRONAS, Tronoh, Malaysia; Department of Management Sciences, Sarhad University of Science and Information Technology, Peshawar, Pakistan","Khan, M.J., Department of Computer and Information Sciences, Universiti Teknologi PETRONAS, Tronoh, Malaysia; Dominic, P.D.D., Department of Computer and Information Sciences, Universiti Teknologi PETRONAS, Tronoh, Malaysia; Khan, A., Department of Management Sciences, Sarhad University of Science and Information Technology, Peshawar, Pakistan; Naseebullah, Department of Management Sciences, Sarhad University of Science and Information Technology, Peshawar, Pakistan","This research investigates and explores the level of e-commerce in the organizations of Malaysia and its future intentions to adopt this technology in their businesses, this will also highlight the affect of this technology on the business performance. The changing environment of the global commerce and the improvement of information and communication technologies are providing the chance to the organizations to compete globally. The aim of this study is to highlight the affect of this new technology on the businesses. This study seeks to identify the factors which are affecting on the e-commerce adoption. For the purpose of combining some critical factors in the previous literature and technology acceptance model we have developed an integrated theoretical model. This study presents the managers/owners intentions for the adoption of E-Commerce technology and also highlights critical antecedent factors in the theoretical model and to find out the Behavioral beliefs do managers and owners in Malaysia have towards adopting of E-Commerce. This research provides a comprehensive study about the adoption level, intentions and future potential of E-Commerce in Malaysia and its affect on business performance. © 2010 IEEE.","Adoption; e-commerce; Intentions; Malaysia; Organizations","Adoption; E-Commerce; Intentions; Malaysia; Organizations; Information technology; Societies and institutions; Electronic commerce",Conference Paper,"Final","",Scopus,2-s2.0-78049387215
"Shahawai S.S., Idrus R.","35085575100;6507359601;","Pre-considered factors affecting ERP system adoption in Malaysian SMEs using a technology-organization-environment framework",2010,"Proceedings 2010 International Symposium on Information Technology - System Development and Application and Knowledge Society, ITSim'10","3",, 5561522,"1422","1427",,2,"10.1109/ITSIM.2010.5561522","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049391315&doi=10.1109%2fITSIM.2010.5561522&partnerID=40&md5=e3180dd2588be21a709edfb3c85143f3","School of Computer Science, Universiti Sains Malaysia, Penang, Malaysia; School of Computer Science, National Advanced IPv6 Centre (NAv6), Universiti Sains Malaysia, Penang, Malaysia","Shahawai, S.S., School of Computer Science, Universiti Sains Malaysia, Penang, Malaysia; Idrus, R., School of Computer Science, National Advanced IPv6 Centre (NAv6), Universiti Sains Malaysia, Penang, Malaysia","The adoption of Enterprise Resource Planning (ERP) system among large organizations around the world has gradually increased due to the number of its implementation successes. An integration of a primary technology that effectively utilizes an ICT system in the organization such as ERP system will have a huge positive long-term result on any large, medium or small enterprises. However, most Small Medium Enterprises (SMEs) in Malaysia are still lagging behind. This paper aims to discuss the proposed pre-considered factors affecting ERP system adoption in Malaysian SMEs by using a technology-organization- environment (TOE) framework. Based on this framework, each factor will be looked at and discussed further in this paper on how the elements in the framework affect the adoption of ERP system in SMEs. This paper also explains how the factors will be used in a survey to be conducted later. The findings will help outline the strategies that should be considered to increase the understanding on the successful adoption of ERP among Malaysian SMEs. © 2010 IEEE.","ERP system adoption; Malaysian SMES; Measurement factors; Technology- organisation-environment (TOE) framework","Enterprise resource planning systems; ERP system; ERP system adoption; Implementation success; Large organizations; Malaysia; Malaysians; Small enterprise; Small medium enterprise; Technology-organization-environment frameworks; Industry; Information technology; Resource allocation; Enterprise resource planning",Conference Paper,"Final","",Scopus,2-s2.0-78049391315
"Holden P.","35857311100;","Reading for genre",2010,"Interventions","12","3",,"442","458",,3,"10.1080/1369801X.2010.516101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957793609&doi=10.1080%2f1369801X.2010.516101&partnerID=40&md5=71a83837b7920133ef71f69fff22bda5","National University of Singapore, Singapore","Holden, P., National University of Singapore, Singapore","Postcolonial literary studies has paid a great deal of attention to the novel and much less to the short story, despite the fact that the latter is often a more common means of literary expression in late colonial and early post-independence periods. The majority of scholarship on postcolonial short stories, furthermore, explores stories as printed in retrospectively constructed collections, rather than considering the original context of publication. This essay illustrates the possibilities opened up by placing fiction written at the moment of decolonization in the context of its publication, looking at both paratextual elements in the journal in which the story appeared and the journal's intervention in a larger social environment. It thus examines two modernist short stories by Lee Kok Liang, one of Malaysia's best-known English-language writers, originally published in the short-lived literary magazine Tumasek in Singapore in 1964. Reading the stories 'It's All in a Dream' and 'When the Saints Go Marching' in situ illuminates their very precise response to the transition from the governmentality of colonialism to that of the developmental nation-state. In Lee's case, the stories respond to a series of tensions concerning class, ethnicity and language that would only find temporary resolution in Singapore's departure from the Malaysian Federation in 1965. The formal properties of the short story form, indeed, perhaps make it more successful in interrupting and interrogating national narratives than the novel. Short fiction insinuates itself into the fabric of history, and yet its fragmentary form raises contradictions that are never fully rationalized through historicizing narratives. Appreciation of the way in which such stories work in precise postcolonial contexts is thus not simply scholarly historicism. Re-read, such short fiction has the potential not so much to propose a genealogy of postcolonial governmentality, as to make a new generation of readers aware of its genesis, and thus to question the conceptual categories through which governance is manifest. © 2010 Taylor & Francis.","Governmentality; Lee Kok Liang; Malaysian literature; postcolonial literature; short fiction; short story; Singapore literature",,Article,"Final","",Scopus,2-s2.0-79957793609
"Jarita D., Ahmad N.","36237023500;36496527800;","Predicting the global crisis recovery period: Lessons from the 1997 crisis",2010,"Global Economic Review","39","1",,"99","113",,,"10.1080/12265081003696437","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958142684&doi=10.1080%2f12265081003696437&partnerID=40&md5=99f84f08d924a717076bf80e2d65be33","Department of Economics, Kuliyyah of Economics and Management Sciences, International Islamic University Malaysia, Jalan Gombak, 53100 Kuala Lumpur, Malaysia; Faculty of Economics and Muamalat, Islamic Science University of Malaysia, Bandar Baru Nilai, Nilai, Negari Sembilan, Malaysia","Jarita, D., Department of Economics, Kuliyyah of Economics and Management Sciences, International Islamic University Malaysia, Jalan Gombak, 53100 Kuala Lumpur, Malaysia; Ahmad, N., Faculty of Economics and Muamalat, Islamic Science University of Malaysia, Bandar Baru Nilai, Nilai, Negari Sembilan, Malaysia","The objective of this paper is to identify the best indicator in forecasting the recovery period from the current global crisis for Malaysia. Initially, to determine the best indicator for the recovery period, we construct a simple forecasting model that incorporates three indicators: lagging, leading and coincidence indices, with two proxies of economic performance, macroeconomic and financial variables. We estimate a two-variable vector error correction model (VECM) using monthly and quarterly data covering the period 1980 to 2000. We alternate between the three indicators and we evaluate each model using out-of-sample forecast. Using the results of the initial process of analysis, we predict the recovery period of Malaysian economy from the current global economic crisis. It is found that lagging index is the best indicator of financial performance of the economy. From the half-life calculation base on error correction term, the study found that Malaysia was able to recover from the previous 1997 crisis within a two to four year period after the crisis. Given that the current crisis environment is similar to the previous 1997 crisis, a similar time period could apply to the current global crisis recovery. © 2010 Institute of East and West Studies.","Crisis; Forecasting; Indicator; Malaysia; Recovery",,Article,"Final","",Scopus,2-s2.0-77958142684
"Shi X.","36572409900;","Study on ecological risk remote sensing assessment model under urban expansion",2010,"International Conference on Internet Technology and Applications, ITAP 2010 - Proceedings",,, 5566547,"","",,,"10.1109/ITAPP.2010.5566547","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958121757&doi=10.1109%2fITAPP.2010.5566547&partnerID=40&md5=75d8ab0600d4bdd3f3818729d970126c","Beijing Key Laboratory of Logistics Systems and Technology, Beijing Wuzi University School of Logistics, BWU, Beijing Wuzi Universtiy, Beijing, 101149, China","Shi, X., Beijing Key Laboratory of Logistics Systems and Technology, Beijing Wuzi University School of Logistics, BWU, Beijing Wuzi Universtiy, Beijing, 101149, China","This paper is to study the harmonious development relationship of urbanization and regional eco-environment. Then the basic theory can be supplied to urbanization sustainable development and decision-making is supplied to city governor. In this study, the spatial mechanism between urban expansion and ecological risk is analyzed to determined the source of spatial ecological risks, risk drivers, risk resistance and risk characterization factors. The risk drivers are determined to be urban land expansion on the bottom, human economic activities in the middle as well as thermal space environment on the top-level;Risk drivers were identified as the integrity action of urban construction land patch area, patch shape, patch density, patch geometric gravity center, and landscape overall role; Risk resistance were identified as the integrity action of the stability of ecological landscape unit itself, the stability of neighborhood units and terrain slope; meanwhile ecological risk remote sensing characterization were identified as he integrity action of leaf area index and optical vegetation coverage. Based on the combined work mechanism of risk drivers, risk resistance and risk characterization factors, Spatial Ecological Risk Assessment Remote Sensing Model(SERA) was established Selangor, Kuala Lumpur and Putrajaya in Malaysia as example and combined the correlation data and the model. The results show that the ecological risk in the study area is still not high and accord with the develop rule between urbanization and ecological environment. So SERS model can make a true assessment for region ecological risk from urbanization and satisfy the need of this type study. The model supplies scientific theory for urban governor. ©2010 IEEE.","Ecological risk; Ecological risk characterization; SERA Model; Urban expansion","Assessment models; Basic theory; Correlation data; Eco-environments; Ecological environments; Ecological risk assessment; Ecological risks; Gravity centers; Harmonious development; Human economics; Landscape units; Leaf Area Index; Malaysia; Patch area; Patch densities; Remote sensing models; Risk characterization; Risk drivers; Scientific theories; SERA Model; Space environment; Spatial mechanism; Study areas; Terrain slope; Urban construction; Urban expansion; Vegetation coverage; Work mechanism; Decision making; Decision theory; Ecology; Economics; Forestry; Governors; Internet; Remote sensing; Slope stability; Space optics; Thermal expansion; Risk assessment",Conference Paper,"Final","",Scopus,2-s2.0-77958121757
"Mortezania S., Othman F.","36630669100;36630785100;","Economic assessment of cured concrete by organic coating materials and double wall corrugated HDPE pipes in sewer networks",2010,"International Journal of Physical Sciences","5","13",,"1974","1980",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650981132&partnerID=40&md5=b120f338cbf074565d570335b5c6c92c","Department of Civil Engineering, Faculty of Engineering, University of Malaya, 50603 Kuala Lumpur, Malaysia","Mortezania, S., Department of Civil Engineering, Faculty of Engineering, University of Malaya, 50603 Kuala Lumpur, Malaysia; Othman, F., Department of Civil Engineering, Faculty of Engineering, University of Malaya, 50603 Kuala Lumpur, Malaysia","Resistance to deteriorations (especially corrosion) and initial price are important features in selecting the proper pipe materials for sewers. Among different types of pipe material used in Malaysia sewers, concrete and double wall corrugated high-density polyethylene (DWC-HDPE) pipes are more common. Laboratory tests were conducted using cylindrical concrete samples coated by polyurethane and epoxy materials to investigate their ability to protect concrete pipe against corrosion. Secondly, the cured concrete pipe price was compared to sewer construction costs. Economic analyses were carried out to compare the prices of cured concrete and DWC-HDPE pipe in various diameters. The results revealed that the coatings act as a barrier against the aggressive environment. Besides, their ability was proved to prolong concrete service life. In addition, the results showed that using the coatings to prevent or delay concrete networks' deterioration (against corrosion) was at least 2 times more economical compared to sewer reconstruction. Furthermore, it was concluded that DWC-HDPE pipe larger than 600 mm is not economical to be used for sewers due to well performance of designed coatings on extending the concrete pipe service life. Finally, mathematical models were developed to assist engineers or designers to accurately select the proper pipe based on desired variables. © 2010 Academic Journals.","Corrosion; Cost analyses; Service life; Sewer pipe; Surface treatment",,Article,"Final","",Scopus,2-s2.0-78650981132
"Goh S.K., Wong K.N.","7202784318;56040643400;","Analyzing the productivity-wage-unemployment nexus in Malaysia: Evidence from the macroeconomic perspective",2010,"International Research Journal of Finance and Economics","53",,,"145","156",,6,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958140015&partnerID=40&md5=e07c0c11fdbcd96941496b0cea65489b","Centre for Policy Research and International Studies, Universiti Sains Malaysia, 11800, Penang, Malaysia; Department of Economics, Monash University, Sunway Campus, Malaysia","Goh, S.K., Centre for Policy Research and International Studies, Universiti Sains Malaysia, 11800, Penang, Malaysia; Wong, K.N., Department of Economics, Monash University, Sunway Campus, Malaysia","Using multivariate cointegration and error-correction modeling techniques, this paper attempts to examine whether there exists a productivity-wage-unemployment relationship in Malaysia at the macroeconomic level. The main findings show that unemployment is dichotomized from the long-run equilibrium relationship between labor productivity and real wages, implying labor productivity is an important long-run factor in determining real wages, while unemployment has a negligible effect on the real wage rates. However, real wages are very responsive to a change in labor productivity, signaling a tight labor market that leads to an increase in unit labor cost. To be more resilient to rising wages and productivity gaps in a globally competitive environment, Malaysian industries should move up the value chain, and promote skill-and technology-intensive production. © EuroJournals Publishing, Inc. 2010.","Malaysia; Productivity; Real wages",,Article,"Final","",Scopus,2-s2.0-77958140015
"Sudsawasd S.","12806242300;","An empirical assessment of the relationship between competition policy and investment",2010,"Journal of Asian Economics","21","5",,"466","475",,,"10.1016/j.asieco.2010.05.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954457907&doi=10.1016%2fj.asieco.2010.05.004&partnerID=40&md5=9d9fe66bacb730d138fd1c7d73bc660e","School of Development Economics, National Institute of Development Administration, 118 Sereethai Road, Bangkapi, Bangkok 10240, Thailand","Sudsawasd, S., School of Development Economics, National Institute of Development Administration, 118 Sereethai Road, Bangkapi, Bangkok 10240, Thailand","The relationship between competition policy and investment is empirically examined. Empirical findings suggest that increasing market competition has a positive and robust impact on the share of total investment in GDP per capita. Developing countries enjoy benefits from competition legislation efficiency improvement, whereas the reduction of government anti-competitive price control intervention enhances the good investment environment in developed countries. In relation to the potential impacts of ASEAN competition policies, if ASEAN-4 countries (Indonesia, Malaysia, Philippines, and Thailand) become as competitive as Singapore, the investment shares are expected to increase to approximately 2-4%. Further, foreign direct investment inflows from the 30 OECD countries are expected to increase roughly 0.6-1.2%. © 2010 Elsevier Inc.","Competition policy; Gravity model; Investment",,Article,"Final","",Scopus,2-s2.0-77954457907
"Chong K.-F., Lee C.-Y.","15051608800;7410155817;","Inter- and intraspecific aggression in the invasive longlegged ant (Hymenoptera: Formicidae)",2010,"Journal of Economic Entomology","103","5",,"1775","1783",,9,"10.1603/EC09256","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957733647&doi=10.1603%2fEC09256&partnerID=40&md5=1b5050411baa969d61fee1e145faae14","Urban Entomology Laboratory, School of Biological Sciences, Universiti Sains Malaysia, 11800 Penang, Malaysia; Bentokil Initial (M) Sdn Bhd., Kuching, Sarawak, Malaysia","Chong, K.-F., Urban Entomology Laboratory, School of Biological Sciences, Universiti Sains Malaysia, 11800 Penang, Malaysia, Bentokil Initial (M) Sdn Bhd., Kuching, Sarawak, Malaysia; Lee, C.-Y., Urban Entomology Laboratory, School of Biological Sciences, Universiti Sains Malaysia, 11800 Penang, Malaysia","The longlegged ant, Anoplolepis gracilipes (Fr. Smith) (Hymenoptera: Formicidae), is a highly invasive species that can aggressively displace other ant species. We conducted laboratory assays to examine interspecies aggression of A. gracilipes versus 15 sympatric ant species found in the urban environment and disturbed habitat in Malaysia: Monomorium pharaonis (L.), Monomorium floricola (Jerdon), Monomorium orientale Mayr, Monomorium destructor (Jerdon), Pheidole parva Mayr, Crematogaster sp., Solenopsis geminata (F.), Tapinoma indicum (Forel), Tapinoma melanocephalum (F.), Technomyrmex butteli Forel, Dolichoderus thoracicus (Smith), Paratrechina longicornis (Latrielle), Oecophylla smaragdina (F), Camponotus sp., and Tetraponera rufonigra (Jerdon). A. gracilipes showed aggressive behavior toward all opponent species, except the smallest M. orientale. Opponent species size (body size, head width, and mandible width) was significantly correlated with A. gracilipes aggression level and mortality rate. We also found a significant positive relationship between A. gracilipes aggression level and the mortality of the opponent species. The results suggest that invasive populations of A. gracilipes would have the greatest impact on larger ant species. In addition, we examined the intraspecific aggression of A. gracilipes. We found that A. gracilipes from different localities in Malaysia showed intraspecific aggression toward one another. This finding differs from the results of studies conducted in Christmas Island earlier. Differences in the genetic variability among populations may explain these differing results. © 2010 Entomological Society of America.","aggression; Anoplolepis gracilipes; interspecific; intraspecific; invasive species","aggression; animal; animal behavior; ant; article; body size; classification; ecosystem; genetics; hand strength; head; histology; Malaysia; mandible; methodology; pest control; physiology; policy; species difference; Aggression; Animals; Ants; Behavior, Animal; Body Size; Ecosystem; Hand Strength; Head; Malaysia; Mandible; Pest Control; Species Specificity; Urban Renewal; Anoplolepis gracilipes; Camponotus; Dolichoderus thoracicus; Formicidae; Hymenoptera; Monomorium destructor; Monomorium floricola; Monomorium orientale; Monomorium pharaonis; Oecophylla smaragdina; Paratrechina longicornis; Pheidole parva; Solenopsis geminata; Tapinoma indicum; Tapinoma melanocephalum; Technomyrmex butteli; Tetraponera rufonigra",Article,"Final","",Scopus,2-s2.0-77957733647
